type,phone,F1_0.33,F2_0.33,F3_0.33,B1_0.33,B2_0.33,B3_0.33
means,a,680.8173594357509,1715.7187154372627,2622.0723503015874,2.1313525352387837,2.198619059915262,2.314488065135237
means,e,416.77286840362785,2063.384514246787,2754.9797667089942,1.9509361049349367,2.1066737440369923,2.2736231973427206
means,i,377.0638652785344,2056.2677765139842,2782.5731821095987,2.0129615136940098,2.157504242967972,2.326666453636849
means,o,426.4696690525337,1100.7292659240522,2516.399679869996,2.0573980529402984,2.4951520849692637,2.5189462282150314
means,u,389.0826837547228,1231.345580138331,2469.1358385113363,2.058867301289961,2.5575405363945345,2.4729623450759903
means,y,353.78768462660526,1769.1159591182932,2490.128712814058,1.9592661802981968,2.2384654656421654,2.3065983000794756
means,ø,398.32936933295514,1566.9390202411194,2375.1006830064243,1.9059825607266057,2.1689538766624654,2.201496250800827
means,œ,630.0130983269074,1559.2852746874535,2518.8285605665146,2.0633596292422554,2.1809659555954535,2.318646413891934
means,œ̃,584.2418530608481,1530.577858337491,2501.021441227516,2.263724561458148,2.1810070770541383,2.3460344645321896
means,ɑ,645.0413920151187,1334.3752408794405,2618.801664126984,2.1129871585346756,2.1209147621419873,2.3156664198297134
means,ɑ̃,749.3806952165553,1350.5779988174602,2566.4690326553286,2.4226422205079756,2.252343139417727,2.569031219042496
means,ɔ,554.933431995087,1383.1734193529855,2559.407626274,2.06539208238969,2.2199848169601917,2.343397001479972
means,ɔ̃,608.2195327766426,1129.570814986393,2435.7950950668574,2.310045126614491,2.395256979900342,2.611139366942407
means,ə,483.67332117800566,1639.1690139727887,2577.8644953231287,2.009637127825947,2.179111100853337,2.2545299791475104
means,ɛ,531.3080354221469,1857.5189608144383,2603.625638051401,2.0336949168883045,2.071066990232492,2.316394626217401
means,ɛ̃,589.9182283095238,1889.2794498567675,2675.118154473169,2.260942501312887,2.1677158519307715,2.3724531107735354
means,ɜ,690.4166645294783,1804.3495306730902,2608.6969271492762,2.1754680021837167,2.1329301515271752,2.347994210026583
matrix,ɑ̃,31023.435194051006,12481.679328248947,30634.189140764498,-4.472716444739883,20.56660238029257,-1.5259625662235967
matrix,ɑ̃,12481.679328248947,34075.67107205845,21405.940125565034,-13.572982995461434,11.934025573882298,-10.168823139152897
matrix,ɑ̃,30634.189140764498,21405.940125565034,158252.43147829268,-8.918219001821067,17.825273745956867,-23.163932983936487
matrix,ɑ̃,-4.472716444739883,-13.572982995461434,-8.918219001821067,0.07392010533246897,-0.005037966615082277,0.028217810381531573
matrix,ɑ̃,20.56660238029257,11.934025573882298,17.825273745956867,-0.005037966615082277,0.11631579417485043,0.013075659251494709
matrix,ɑ̃,-1.5259625662235967,-10.168823139152897,-23.163932983936487,0.028217810381531573,0.013075659251494709,0.1265061299683984
matrix,ɛ,10333.994336244079,5362.415073167216,10114.77450626391,16.68068387824652,4.4605161303433425,0.9528887066513603
matrix,ɛ,5362.415073167216,49935.507976307235,37785.514706968024,20.227574009774763,-5.663425317285949,14.232058662963931
matrix,ɛ,10114.77450626391,37785.514706968024,61277.95359564293,29.765924647541034,-1.0249943512018826,10.794496005455184
matrix,ɛ,16.68068387824652,20.227574009774763,29.765924647541034,0.11281496579056267,0.006317402013770377,0.005595961756659877
matrix,ɛ,4.4605161303433425,-5.663425317285949,-1.0249943512018826,0.006317402013770377,0.07856314956128757,0.007225073975822827
matrix,ɛ,0.9528887066513603,14.232058662963931,10.794496005455184,0.005595961756659877,0.007225073975822827,0.06189024446210212
matrix,i,8696.080738580198,4496.278046301158,1319.487484912404,10.880061517204703,-8.266188171516102,-3.6820232152739454
matrix,i,4496.278046301158,102375.32769578791,73790.27464108616,25.37781890474471,-25.843101563263556,2.0986477545778603
matrix,i,1319.487484912404,73790.27464108616,98094.2390638055,33.69912472893528,1.1885033912290797,0.24731475807238806
matrix,i,10.880061517204703,25.37781890474471,33.69912472893528,0.10296364727425744,0.01495619836362529,-8.42714776327477e-5
matrix,i,-8.266188171516102,-25.843101563263556,1.1885033912290797,0.01495619836362529,0.13599840746572742,0.03032699403684856
matrix,i,-3.6820232152739454,2.0986477545778603,0.24731475807238806,-8.42714776327477e-5,0.03032699403684856,0.07099946877042332
matrix,a,17471.853029160797,1441.8134382180494,11202.991629641509,0.423922029978247,12.60773360578325,1.2019497383411601
matrix,a,1441.8134382180494,63080.567960377884,48924.78842221039,-6.779848268064091,-5.752954762345145,12.606686242280169
matrix,a,11202.991629641509,48924.78842221039,74370.68206013908,-2.2501630813241804,-2.6030544273543774,6.877999983970681
matrix,a,0.423922029978247,-6.779848268064091,-2.2501630813241804,0.09919519719236236,0.0026608462888917457,0.01088860893089017
matrix,a,12.60773360578325,-5.752954762345145,-2.6030544273543774,0.0026608462888917457,0.08099634485003704,0.012506493544914352
matrix,a,1.2019497383411601,12.606686242280169,6.877999983970681,0.01088860893089017,0.012506493544914352,0.07563186743679216
matrix,u,6527.568535762203,7528.18218444832,9446.374368341305,5.008035773139647,1.736202961500953,-2.6226056353038794
matrix,u,7528.18218444832,127011.22294752495,74102.97085077991,9.589852349761475,38.72291271074246,15.335347719862847
matrix,u,9446.374368341305,74102.97085077991,120006.45228849935,20.09214002429083,2.8353929397302884,2.3213734602382696
matrix,u,5.008035773139647,9.589852349761475,20.09214002429083,0.09509859416788374,0.01785776520563573,0.01610578149871036
matrix,u,1.736202961500953,38.72291271074246,2.8353929397302884,0.01785776520563573,0.11379357098907635,0.024720176455076855
matrix,u,-2.6226056353038794,15.335347719862847,2.3213734602382696,0.01610578149871036,0.024720176455076855,0.10380375349007812
matrix,ɔ,11975.904953187377,1125.2653885706839,11866.202558976845,8.304395257068618,4.706292367639675,-0.40869422995538657
matrix,ɔ,1125.2653885706839,68519.26943948057,33013.32062196984,-4.895622292322276,20.285121644162757,17.127091311416777
matrix,ɔ,11866.202558976845,33013.32062196984,85571.77871160589,17.15636405053621,18.85989320116231,11.432431186161315
matrix,ɔ,8.304395257068618,-4.895622292322276,17.15636405053621,0.09782324545047734,-0.0013892594354062507,0.01586895413276997
matrix,ɔ,4.706292367639675,20.285121644162757,18.85989320116231,-0.0013892594354062507,0.10068525171080962,0.006662940327081123
matrix,ɔ,-0.40869422995538657,17.127091311416777,11.432431186161315,0.01586895413276997,0.006662940327081123,0.10345774003048756
matrix,e,6006.205481982267,4124.758630243041,5017.780992812546,6.285429027682737,-3.0822941863888826,-6.176179624442993
matrix,e,4124.758630243041,64950.72935406179,46091.34163913347,3.2228007032794865,-14.670886427146023,9.834366011687273
matrix,e,5017.780992812546,46091.34163913347,64796.195337186975,11.833791543257066,-5.270915443019301,4.031409374776222
matrix,e,6.285429027682737,3.2228007032794865,11.833791543257066,0.10245911858355393,0.0115438135729506,-0.01379858479025498
matrix,e,-3.0822941863888826,-14.670886427146023,-5.270915443019301,0.0115438135729506,0.13171732108612216,0.03038645134763217
matrix,e,-6.176179624442993,9.834366011687273,4.031409374776222,-0.01379858479025498,0.03038645134763217,0.10202252079268562
matrix,o,7436.676144820714,10218.827971183598,9792.763214536293,6.943227764916827,10.556077086221288,3.5447163383064173
matrix,o,10218.827971183598,119545.551275316,41354.81269314804,-0.9086302983557459,34.40592505814049,20.498167562010845
matrix,o,9792.763214536293,41354.81269314804,96749.66892504129,5.043711470341751,-8.804331312347621,17.487256582393524
matrix,o,6.943227764916827,-0.9086302983557459,5.043711470341751,0.10697698710016017,0.0048959400422724005,0.014006476703908543
matrix,o,10.556077086221288,34.40592505814049,-8.804331312347621,0.0048959400422724005,0.13388105599206537,0.02596095813573074
matrix,o,3.5447163383064173,20.498167562010845,17.487256582393524,0.014006476703908543,0.02596095813573074,0.10269705680277123
matrix,ɔ̃,31322.169625653856,24003.13188880579,31728.471449274348,-5.485449616965333,34.5817616636238,8.14095374302791
matrix,ɔ̃,24003.13188880579,92809.8535506565,69303.24234834695,-35.7712632136057,59.617283264307254,-0.6199949935809869
